"Ženska imena po: IME, MERITVE , LETO"

" ";"Število";" ";" ";" ";" ";" "
"Marjanka";38;37;37;37;37;37
"Marjela";13;13;12;12;12;12
"Marjeta";6183;6125;6064;6009;5956;5892
"Marjeta Ana";15;15;14;14;14;14
"Marjeta Marija";25;27;25;26;25;24
"Marjetica";368;369;365;365;360;359
"Marjetica Marija";5;5;5;5;5;-
"Marjetka";1926;1922;1921;1918;1917;1911
"Marlen";16;16;16;16;17;17
"Marlena";37;37;37;37;37;36
"Marlene";6;6;7;7;7;7
"Marlenka";18;18;18;18;18;18
"Marsela";11;10;10;11;10;11
"Marša";14;15;15;16;16;16
"Marta";5560;5511;5480;5404;5367;5307
"Marta Ana";10;10;10;10;9;9
"Marta Marija";50;48;49;49;49;47
"Martha";6;6;6;6;-;5
"Martica";5;5;5;5;5;5
"Martina";7772;7771;7746;7722;7701;7654
"Martina Ana";5;5;-;-;-;-
"Martina Darinka";5;5;5;5;5;5
"Martina Marija";14;13;13;13;11;11
"Martina Tina";8;8;8;8;8;9
"Martinka";46;46;45;45;45;45
"Maruša";2021;2074;2132;2183;2239;2274
"Maruška";244;246;246;248;248;248
"Mary";12;12;12;12;11;12
"Maryna";16;17;17;20;22;28
"Masha";5;5;5;5;5;5
"Maša";3175;3329;3480;3645;3771;3912
"Mašenka";7;7;7;7;6;6
"Matea";33;35;38;41;41;43
"Mateja";10518;10526;10522;10521;10517;10510
"Mateja Marija";5;5;5;5;5;5
"Matejka";798;792;788;783;782;775
"Matija";19;18;17;17;17;15
"Matilda";2478;2390;2307;2235;2156;2070
"Matilda Jožefa";5;5;5;5;-;-
"Matilda Marija";10;10;10;10;10;10
"Matjana";8;8;8;7;7;7
"Maura";12;12;12;11;11;11
"Mavricija";9;9;9;9;9;9
"Maya";22;28;31;31;34;40
"Maxi";6;6;6;6;6;6
"Medea";8;13;15;16;17;19
"Medeja";71;75;77;81;82;83
"Mediha";66;68;71;74;78;78
"Medina";145;148;166;173;184;198
"Medine";8;8;10;11;11;12
"Medisa";-;-;-;-;7;7
"Meggi";9;9;9;10;10;10
"Meggie";-;-;5;5;5;5
"Meggy";7;8;7;8;8;8
"Megi";107;110;113;117;123;127
"Megy";5;-;6;6;7;8
"Mehdina";5;5;5;5;5;5
"Mehida";-;-;-;5;5;5
"Mehira";6;6;6;6;6;6
"Mehreme";-;-;7;7;6;6
"Mehtilda";7;7;7;7;6;6
"Mei";9;12;16;17;19;26
"Mejra";56;57;56;56;57;58
"Mejrem";6;6;6;7;7;8
"Mejrema";21;21;21;20;20;21
"Mejrima";9;9;9;10;9;10
"Mel";-;-;5;5;5;-
"Melani";195;204;213;216;224;231
"Melania";10;15;18;20;22;25
"Melanie";124;128;131;133;136;140
"Melanija";182;185;182;184;189;190
"Melany";9;10;10;12;14;14
"Meldina";6;6;6;6;7;5
"Melek";-;-;5;6;8;10
"Meleka";-;-;-;-;-;5
"Meleæa";10;10;10;10;10;9
"Meli";-;-;-;-;6;6
"Meliha";52;53;59;61;65;65
"Melika";-;-;-;-;5;5
"Melina";33;38;43;48;54;52
"Melinda";22;21;22;25;27;25
"Melisa";350;362;393;413;424;436
"Melissa";49;47;48;51;53;58
"Melita";1891;1898;1899;1895;1892;1886
"Melitka";7;7;7;7;7;7
"Melka";-;-;-;5;5;5
"Melva";-;-;-;-;-;5
"Mendi";11;11;10;10;10;10
"Menka";7;7;8;7;7;7
"Mensija";5;5;5;5;5;7
"Mensura";17;17;17;17;17;16
"Mercedes";18;21;21;22;22;21
"Mergime";6;6;8;7;6;6
"Merhunisa";-;-;5;5;6;6
"Meri";134;136;136;138;143;144
"Merica";20;19;19;19;19;19
"Merije";-;-;-;-;5;5
"Merima";156;159;168;173;179;193
"Merisa";50;55;58;60;69;73
"Merita";43;48;51;56;55;62
"Merjem";7;6;6;8;9;14
"Merlina";5;5;6;5;5;5
"Merlinda";11;10;11;13;13;13
"Mersa";7;7;7;6;7;9
"Mersada";18;19;20;19;20;20
"Mersida";8;8;8;8;7;9
"Mersiha";60;60;65;73;77;81
"Mersija";20;22;27;26;26;27
"Mervete";6;6;8;7;7;7
"Mery";6;6;7;8;9;9
"Mesuda";10;9;9;10;10;10
"Meta";769;798;820;848;866;887
"Meti";-;-;-;-;-;5
"Metka";3824;3828;3832;3832;3838;3825
"Metka Marija";5;5;5;5;5;5
"Metoda";318;318;313;311;308;307
"Metodija";5;5;5;5;5;5
"Mevla";34;35;34;35;35;35
"Mevlida";91;91;95;97;97;96
"Mevlide";5;6;7;8;9;9
"Mevlija";7;8;9;8;8;10
"Mevluda";13;14;14;14;15;15
"Mevlude";11;11;11;11;15;15
"Mexhide";-;-;5;5;6;6
"Mia";450;549;644;754;876;1022
"Mia Sara";-;5;5;5;5;6
"Mica";22;21;21;21;20;21
"Michaela";31;30;29;30;35;34
"Michela";10;12;12;12;12;13
"Michele";9;9;9;9;9;9
"Michelle";74;73;75;79;87;85
"Mici";7;7;7;7;7;7
"Micika";8;8;8;8;8;8
"Micka";8;8;8;7;7;7
"Midheta";9;9;11;10;11;11
"Mihaela";2418;2403;2378;2363;2351;2327
"Mihaela Marija";11;11;10;9;9;9
"Mihajela";7;7;7;7;7;6
"Mihane";7;7;7;7;7;8
"Mihela";195;197;199;200;200;199
"Mihelca";109;108;108;107;106;106
"Mihelina";5;5;5;5;-;5
"Mihreta";7;7;7;7;7;7
"Mihrije";9;11;14;11;15;16
"Mija";359;386;422;469;511;572
"Mija Marija";-;-;-;-;-;5
"Mika";37;38;39;39;39;41
"Mikaela";-;-;-;-;5;-
"Mikela";11;11;11;11;11;11
"Mila";143;160;184;214;263;315
"Milada";38;39;39;38;38;37
"Miladinka";36;37;36;36;37;36
"Milana";75;74;77;76;77;81
"Milanija";5;5;5;5;5;-
"Milanja";5;5;5;5;5;5
"Milanka";269;269;273;272;272;275
"Milena";8387;8351;8303;8254;8195;8124
"Milena Ana";8;7;7;7;7;7
"Milena Antonija";10;10;10;9;9;9
"Milena Katarina";6;6;6;6;6;6
"Milena Marija";55;55;55;53;52;50
"Milenca";59;60;60;59;59;58
"Milenija";9;9;9;7;7;7
"Milenka";449;445;445;444;440;437
"Mileva";179;182;183;181;178;176
"Milevka";8;8;8;8;8;8
"Mili";10;11;11;11;12;12
"Milica";1390;1394;1397;1391;1393;1383
"Milica Marija";5;5;5;5;5;5
"Milija";25;25;26;26;26;25
"Milijana";95;96;98;98;97;100
"Milijanka";6;5;5;6;5;6
"Milika";9;9;9;9;9;9
"Milina";6;6;6;6;5;5
"Milinka";5;5;5;5;5;5
"Milislava";8;6;6;6;6;6
"Milita";16;16;16;16;16;16
"Milivojka";18;18;18;17;16;16
"Milja";71;71;70;70;73;73
"Miljana";125;123;118;117;118;118
"Miljanka";7;7;7;7;7;7
"Miljenka";18;18;18;18;18;18
"Miljeva";6;6;6;6;6;6
"Miljka";30;30;29;29;29;28
"Milka";1581;1561;1546;1528;1512;1485
"Milkica";16;16;16;17;18;18
"Milla";6;6;9;11;11;11
"Milojka";615;616;614;610;605;600
"Milomirka";25;24;25;25;23;22
"Milosava";52;53;55;54;52;51
"Milosavka";15;15;16;17;17;17
"Miloslava";7;6;6;6;6;5
"Miloša";7;7;7;7;7;7
"Miloška";8;8;8;8;8;8
"Milovanka";6;6;6;6;6;6
"Milunka";18;19;18;18;18;17
"Miluška";6;6;7;7;7;6
"Milva";12;12;12;11;12;11
"Mima";20;22;22;22;22;22
"Mimi";35;36;35;36;37;39
"Mimica";50;50;51;50;48;47
"Mimika";5;5;5;5;5;5
"Mimka";5;-;-;-;-;-
"Mimoza";19;19;20;20;20;22
"Mina";259;271;279;287;299;308
"Minca";23;24;24;24;24;24
"Mine";64;64;63;64;62;63
"Minea";60;66;74;81;83;85
"Mineja";39;42;43;45;48;49
"Minela";37;40;46;53;57;63
"Mineta";-;5;5;6;6;6
"Minire";8;11;12;16;17;19
"Minja";24;25;26;27;28;28
"Minka";442;439;442;447;444;443
"Mioljka";15;15;15;14;13;13
"Miomira";7;7;7;7;7;7
"Miona";-;-;5;5;6;6
"Mira";2835;2824;2825;2809;2800;2773
"Mira Marija";12;13;13;13;13;13
"Miradije";10;10;14;13;14;14
"Miralema";7;7;7;7;7;9
"Mirana";12;12;12;12;12;12
"Miranda";339;335;338;336;339;334
"Mire";-;5;-;-;-;-
"Mirela";446;458;485;493;506;518
"Mirella";20;21;21;22;22;24
"Mireme";-;-;5;5;6;-
"Mirhada";6;6;6;7;7;7
"Miriam";91;91;93;93;92;95
"Mirica";262;261;261;259;257;257
"Mirijam";74;73;72;72;74;74
"Mirijana";37;37;38;38;38;38
"Mirita";5;5;5;5;5;5
"Mirja";26;27;26;26;26;26
"Mirjam";1182;1182;1183;1188;1189;1189
"Mirjana";2576;2581;2588;2587;2584;2561
"Mirjanka";7;7;8;8;8;8
"Mirjeta";20;20;20;20;21;21
"Mirjete";-;5;6;6;7;7
"Mirka";150;147;146;144;144;142
"Mirlinda";6;7;11;10;14;17
"Mirna";69;69;72;72;73;73
"Mirnesa";31;33;33;36;35;37
"Miroslava";1250;1235;1213;1195;1172;1149
"Miroslava Marija";13;13;13;12;12;11
"Miroslavka";11;11;10;10;10;10
"Mirsa";7;7;10;11;11;10
"Mirsada";307;317;336;340;346;355
"Mirsade";5;5;6;6;7;7
"Mirta";23;24;25;25;26;27
"Miruna";5;5;5;5;5;5
"Mirushe";-;-;-;5;5;6
"Miruše";11;12;11;11;10;8
"Mirveta";11;11;11;11;11;11
"Mirvete";9;9;11;12;13;13
"Mirza";9;10;11;11;12;12
"Mirzana";6;6;6;6;7;8
"Mirzeta";81;85;92;98;100;108
"Mischel";-;-;-;5;5;5
"Miša";227;229;238;253;262;269
"Mišel";29;30;31;32;32;34
"Mišela";25;24;24;25;25;25
"Mita";5;5;5;-;5;5
"Mitra";38;37;38;39;39;38
"Mladena";11;12;13;12;12;12
"Mladenka";65;63;62;63;64;62
"Mladjenka";10;10;9;9;9;9
"Mlaðenka";6;8;7;7;7;7
"Modra";12;12;12;11;11;11
"Moira";12;13;13;13;13;14
"Mojca";11425;11450;11455;11454;11463;11437
"Mojca Marija";23;23;26;27;27;27
"Momirka";15;15;15;15;15;15
"Moni";7;7;7;7;7;6
"Monia";-;6;6;6;6;6
"Monica";35;37;38;37;35;36
"Monija";7;7;7;7;7;7
"Monika";3664;3669;3682;3686;3699;3696
"Monique";-;5;-;5;-;-
"Monja";85;86;87;87;88;86
"Morana";5;5;5;5;6;6
"Morena";30;30;30;31;33;33
"Muamera";-;-;-;5;5;6
"Mubera";11;11;11;12;12;12
"Mufida";9;9;13;13;12;14
"Muharema";48;50;51;49;48;48
"Muhiba";28;28;29;29;29;29
"Mujesira";18;19;20;20;20;20
"Munevera";28;27;26;27;26;26
"Muniba";29;30;29;30;30;30
"Munibe";7;7;7;6;6;6
"Munira";52;52;54;57;57;60
"Munire";12;12;12;12;12;11
"Munirka";9;9;7;8;8;8
"Muradija";8;7;7;7;8;7
"Muradije";-;5;5;-;-;-
"Murisa";12;13;13;13;14;15
"Muzafera";-;-;-;-;5;5
"Mária";-;47;47;47;43;41
"Myriam";5;6;6;6;5;5
"Myrvete";6;6;7;8;8;11
"Nada";6665;6626;6594;6553;6503;6441
"Nada Ana";5;5;5;5;5;-
"Nada Antonija";6;5;-;-;-;-
"Nada Ivana";5;5;5;5;5;5
"Nada Marija";64;63;61;61;61;61
"Nadalina";-;-;-;-;5;5
"Nadejda";-;-;5;5;5;5
"Nadezda";6;5;6;8;7;10
"Nadezhda";-;-;-;-;5;6
"Nadežda";79;79;75;74;74;71
"Nadi";5;5;5;5;5;5
"Nadia";56;61;63;63;68;69
"Nadica";263;260;260;264;263;262
"Nadija";90;95;98;100;101;109
"Nadije";-;6;6;6;8;8
"Nadin";7;7;7;7;7;7
"Nadina";22;22;24;23;23;22
"Nadine";15;15;13;13;13;11
"Nadira";20;20;21;21;21;24
"Nadire";5;-;7;8;9;9
"Nadiya";6;7;8;9;9;10
"Nadja";1590;1603;1606;1615;1629;1640
"Nadka";-;-;-;-;5;-
"Nadžija";8;8;9;8;8;8
"Nadžije";-;5;-;-;-;-
"Nafa";8;8;8;8;8;8
"Nafija";31;34;36;34;35;33
"Nafije";8;10;10;9;11;10
"Nafka";11;10;10;10;10;9
"Naia";5;8;10;12;14;18
"Naida";18;21;21;25;30;31
"Naila";29;29;33;33;33;34
"Naile";5;6;8;11;13;13
"Naima";6;7;9;11;11;11
"Naime";-;-;-;-;-;5
"Naja";350;425;495;562;634;705
"Najda";-;-;-;6;7;8
"Najfa";5;5;5;5;5;5
"Najila";-;-;-;-;-;5
"Najla";13;16;22;24;26;27
"Nala";6;8;8;9;15;15
"Namira";9;10;10;10;11;11
"Namka";43;45;46;45;46;45
"Nana";105;115;129;135;142;150
"Nancy";16;16;17;16;17;17
"Nanika";12;12;12;11;11;11
"Nanja";-;5;5;5;5;5
"Naomi";16;20;22;26;29;36
"Nara";7;10;11;11;13;14
"Narcisa";17;17;16;16;17;18
"Nasibe";9;9;9;9;9;11
"Nasiha";43;45;45;47;44;46
"Nasja";5;5;5;5;6;6
"Nasta";35;35;35;35;35;33
"Nastasia";9;9;10;11;11;9
"Nastasija";25;25;25;26;28;26
"Nastasja";36;35;36;36;35;36
"Nastassja";5;5;5;5;5;5
"Nastia";8;8;8;8;8;8
"Nastija";23;23;23;24;24;25
"Nastja";1407;1439;1452;1469;1494;1502
"Nasveta";-;-;-;5;-;5
"Nata";5;5;7;7;7;7
"Natali";69;69;73;72;74;75
"Natalia";101;103;112;121;129;133
"Natalie";29;28;27;28;27;26
"Nataliia";-;6;11;13;15;15
"Natalija";3586;3593;3610;3614;3618;3610
"Natalija Marija";7;7;7;7;7;7
"Natalija Nataša";6;6;6;6;7;7
"Natalina";7;7;7;6;6;5
"Nataliya";50;54;55;56;56;55
"Natalja";10;12;12;12;12;11
"Nataly";-;-;-;5;5;5
"Natalya";17;20;25;23;27;26
"Natascha";11;11;10;10;10;10
"Natasha";7;5;8;11;14;21
"Nataša";10229;10230;10224;10199;10206;10190
"Nataša Marija";11;11;11;12;12;12
"Nataška";8;8;8;8;8;8
"Nathalie";11;9;9;9;9;10
"Natja";27;28;29;29;30;30
"Natka";5;7;7;9;11;11
"Naza";24;26;25;25;26;27
"Nazifa";19;18;19;18;16;16
"Nazife";12;13;12;13;13;13
"Nazlije";8;10;12;12;13;14
"Nazmije";16;17;20;18;18;20
"Naða";9;10;10;11;12;12
"Naya";6;9;12;15;20;21
"Naxhije";8;8;10;10;12;15
"Naðija";5;5;5;5;5;5
"Nea";69;76;82;86;90;96
"Neca";19;22;24;31;35;37
"Neda";325;325;326;325;328;327
"Neda Marija";6;5;5;-;-;-
"Nedeljka";116;115;119;116;117;113
"Nedica";9;9;9;9;9;9
"Nediljka";18;18;18;18;18;18
"Nedima";5;5;5;5;5;5
"Nedjeljka";30;29;29;29;30;30
"Nedjija";5;5;5;5;5;5
"Nedžada";6;7;8;10;11;12
"Nedžida";7;8;8;8;8;8
"Nedžla";-;-;-;-;-;5
"Nedžma";-;-;-;-;-;5
"Nedžmije";5;6;5;5;5;5
"Nefisa";-;5;5;5;5;5
"Negjmije";-;-;-;-;-;5
"Neila";-;-;-;-;6;8
"Neima";5;5;5;5;5;5
"Neira";8;9;10;10;12;14
"Neisha";-;-;-;-;5;7
"Neja";1163;1295;1422;1547;1686;1796
"Nejka";62;63;64;67;72;73
"Nejla";46;53;65;75;88;96
"Nejra";18;23;25;26;32;37
"Nejša";5;5;6;6;7;9
"Nela";152;157;164;163;168;169
"Neli";438;504;551;611;677;730
"Nelica";5;5;5;5;5;5
"Nelida";15;15;15;15;15;15
"Nelka";23;22;22;22;22;22
"Nella";8;8;7;8;8;7
"Nelli";12;13;13;14;16;16
"Nelly";28;31;33;36;43;46
"Nely";13;18;23;25;29;31
"Nena";176;181;189;194;197;201
"Nensi";45;45;45;46;48;49
"Nera";10;11;11;11;11;12
"Nerina";87;87;89;88;87;86
"Nerma";7;9;9;10;10;11
"Nermin";-;-;-;5;-;5
"Nermina";152;157;173;188;197;206
"Nermine";5;5;7;7;7;8
"Nerminka";11;11;11;12;12;12
"Nesiba";6;6;6;6;6;6
"Nesiha";16;16;16;17;16;16
"Nesima";12;12;12;12;12;12
"Neška";-;-;-;-;5;5
"Neta";5;5;5;5;5;5
"Neti";-;-;-;-;5;5
"Neva";493;501;507;517;521;521
"Nevena";73;76;81;81;83;87
"Nevenka";3669;3657;3637;3625;3604;3575
"Nevenka Marija";17;17;17;17;17;17
"Nevia";27;27;27;28;28;29
"Nevica";36;36;36;35;35;35
"Nevija";91;92;92;92;92;92
"Nevina";10;10;10;10;10;10
"Nevja";22;22;22;22;22;22
"Nevresa";8;8;9;10;11;15
"Nevrije";5;6;6;6;6;5
"Nevzeta";41;42;43;43;43;42
"Nezira";10;11;11;11;12;14
"Neža";4179;4323;4452;4592;4717;4877
"Neža Ana";5;5;5;7;6;7
"Neža Marija";10;10;10;9;10;10
"Nežica";13;13;12;12;12;12
"Nežika";129;127;127;127;127;126
"Nežka";328;330;331;330;328;323
"Neya";-;-;-;-;5;6
"Neðeljka";16;16;16;16;14;13
"Nexhmije";10;12;12;14;17;18
"Nia";46;59;73;94;110;138
"Nicol";17;17;18;18;18;19
"Nicole";63;67;71;75;80;80
"Nicoletta";5;5;6;6;6;6
"Nidija";6;6;6;5;5;5
"Nihada";49;50;52;55;56;60
"Nija";17;21;23;31;38;46
"Nika";5236;5511;5756;5994;6220;6424
"Nike";43;46;46;49;50;53
"Niki";43;49;52;55;58;60
"Nikica";30;30;30;29;29;27
"Nikita";104;120;126;130;136;141
"Nikki";12;14;16;17;19;19
"Nikol";17;19;19;21;22;21
"Nikola";-;-;5;6;7;6
"Nikolaja";174;172;169;168;167;164
"Nikolaja Marija";7;7;7;7;7;7
"Nikoleta";12;11;12;14;14;13
"Nikolija";10;11;11;10;9;9
"Nikolina";250;272;300;328;367;402
"Nikolinka";-;5;5;5;7;6
"Nila";-;-;-;6;6;7
"Nilva";6;6;6;6;6;6
"Nina";9353;9514;9671;9813;9927;10029
"Nina Katarina";7;7;7;7;7;7
"Nina Marija";-;5;-;-;5;6
"Nirvana";6;6;6;6;6;6
"Nisa";18;20;21;24;25;25
"Nisfeta";-;-;5;5;5;6
"Nisveta";71;70;74;78;78;79
"Nita";5;5;5;5;6;7
"Nives";1322;1330;1332;1328;1329;1329
"Nizama";10;10;10;10;11;12
"Njomza";-;-;-;-;6;8
"Noa";8;8;8;11;13;16
"Noel";6;6;8;8;10;10
"Noela";-;-;-;-;-;5
"Noelle";7;6;6;7;7;6
"Noemi";55;58;65;71;77;85
"Nola";-;-;-;-;5;7
"Nora";-;-;-;-;5;8
"Norma";63;62;62;61;62;60
"Notburga";5;5;5;5;5;-
"Novka";32;33;33;33;32;30
"Nura";48;49;50;50;48;50
"Nure";27;27;30;28;29;30
"Nurfeta";5;5;6;6;6;6
"Nurija";8;8;9;8;9;9
"Nurije";10;10;13;11;13;13
"Nurka";11;11;11;11;11;11
"Nusmira";5;5;5;5;5;5
"Nusreta";32;32;32;31;32;32
"Nuša";1947;2010;2073;2140;2194;2231
"Nuša Ana";7;6;6;6;6;6
"Nuška";202;202;203;203;202;202
"Obrenija";11;11;11;11;11;11
"Ofelija";9;9;9;9;9;9
"Oja";-;-;-;-;5;5
"Oksana";59;56;62;71;72;76
"Oktavija";9;9;7;7;7;7
"Oleksandra";7;8;11;13;15;12
"Olena";87;86;88;91;92;102
"Olesya";-;5;6;6;5;6
"Olga";6385;6309;6257;6183;6102;5984
"Olga Ana";12;12;11;11;11;11
"Olga Ivana";6;6;6;6;6;6
"Olga Marija";44;44;43;43;42;39
"Olgica";123;121;123;122;122;123
"Olha";19;16;21;20;20;18
"Olimpija";5;-;-;-;-;-
"Oliva";22;22;23;22;21;19
"Olivera";172;176;177;174;176;176
"Olivia";15;14;18;20;23;27
"Olivija";38;38;42;44;47;53
"Olja";36;39;41;46;46;46
"Olta";-;-;-;-;-;6
"Ondina";76;77;76;75;74;74
"Onja";-;-;-;6;6;6
"Onorina";14;14;14;13;14;13
"Oriana";31;31;33;33;36;36
"Orijana";23;23;23;23;23;24
"Orjana";79;79;79;79;79;79
"Orjeta";7;7;7;7;7;7
"Orlanda";8;8;8;8;7;7
"Ornela";34;36;38;37;37;37
"Ornella";6;5;6;6;6;6
"Ota";8;9;16;28;38;54
"Otilija";477;459;442;422;408;389
"Otilija Marija";6;6;6;6;5;5
"Ozrenka";9;9;10;10;10;10
"Oxana";12;8;11;13;14;15
"Palma";15;15;15;15;15;13
"Palmira";57;56;56;54;53;51
"Paloma";-;-;-;5;5;7
"Pamela";51;52;51;52;54;55
"Paola";15;17;17;19;20;18
"Paolina";-;-;-;-;-;5
"Paša";42;42;41;41;42;42
"Pašime";5;5;5;5;-;5
"Patricia";290;297;302;313;315;314
"Patricija";2073;2103;2130;2151;2172;2190
"Patriša";5;5;5;5;5;5
"Patrizia";34;35;34;32;34;35
"Paula";109;102;97;95;92;91
"Paulina";73;74;78;80;74;78
"Pauline";5;-;-;-;-;-
"Pava";23;22;22;21;21;21
"Pavica";18;18;18;18;18;17
"Pavla";4047;3950;3808;3674;3546;3427
"Pavla Marija";28;28;26;26;26;26
"Pavlica";16;16;16;16;16;16
"Pavlina";745;718;702;683;658;625
"Pavlinka";5;-;8;8;8;9
"Pegi";-;5;6;6;7;7
"Pelka";13;13;13;14;14;14
"Pepca";103;100;99;99;96;94
"Pepica";11;10;10;10;10;10
"Pera";17;17;17;16;16;16
"Peregrina";7;7;6;6;6;6
"Perina";18;19;19;19;19;18
"Perka";17;16;16;16;15;13
"Persa";42;41;41;41;42;42
"Persida";10;10;10;10;9;9
"Petja";140;144;152;161;166;171
"Petra";9192;9198;9214;9230;9238;9230
"Petrica";5;5;5;5;6;6
"Petrija";7;6;6;6;6;6
"Petrina";53;52;50;48;46;46
"Petronela";12;10;9;9;8;8
"Petronila";5;5;5;5;5;5
"Petruša";8;8;8;8;8;8
"Petruška";5;5;5;5;5;5
"Petya";-;-;-;5;5;7
"Pia";1267;1398;1537;1653;1746;1836
"Pia Lara";-;-;-;-;5;5
"Pia Lucija";6;7;7;7;7;7
"Pia Marija";8;8;8;8;9;9
"Pia Patricia";-;5;5;5;5;5
"Pierina";33;33;31;31;29;28
"Pija";198;222;240;255;268;284
"Pija Marija";-;-;-;-;5;5
"Pika";228;253;282;309;339;369
"Pilar";14;14;16;17;18;18
"Pina";80;89;99;102;104;110
"Piroška";25;25;24;24;25;24
"Pjerina";10;10;10;10;10;11
"Polda";10;10;10;10;10;10
"Poldka";19;18;18;18;17;17
"Polina";5;8;10;11;10;11
"Polona";2630;2645;2656;2662;2676;2690
"Polonca";1652;1648;1645;1643;1641;1638
"Polonica";8;8;8;8;8;8
"Polonija";6;6;6;6;6;6
"Pranvera";-;5;5;-;5;6
"Raba";13;13;15;16;16;16
"Rabija";53;54;55;52;52;52
"Rabije";13;14;15;15;15;15
"Rada";272;273;274;277;275;279
"Radana";39;38;38;38;38;38
"Radenka";41;42;43;43;43;45
"Radica";57;57;57;58;59;59
"Radija";5;5;5;5;5;5
"Radinka";36;36;35;35;35;35
"Radislava";37;35;33;33;33;32
"Radislavka";7;7;7;7;7;6
"Radivojka";8;8;8;8;8;8
"Radka";7;7;8;7;7;7
"Radmila";543;542;557;546;544;535
"Radojka";381;376;378;376;369;364
"Radomira";11;12;12;12;12;12
"Radomirka";7;7;7;7;7;7
"Radosava";35;34;33;33;32;32
"Radosavka";5;5;5;5;5;6
"Radoslava";44;43;42;42;43;42
"Radoslavka";11;11;10;10;10;10
"Radoška";9;8;8;8;8;8
"Radovana";5;5;5;5;5;5
"Radovanka";8;8;8;9;8;8
"Radunka";5;-;5;5;-;-
"Rafaela";208;204;197;190;186;182
"Rahela";90;92;92;91;92;95
"Rahila";9;9;9;9;9;9
"Rahima";26;26;27;28;27;27
"Rahime";14;15;15;16;16;16
"Rahmana";6;6;6;6;5;5
"Rahmane";7;8;9;10;10;10
"Raisa";11;11;11;10;10;11
"Raja";5;8;8;8;8;9
"Rajana";-;-;-;6;6;6
"Rajfa";17;16;15;15;14;13
"Rajka";172;171;174;176;177;172
"Rajmonda";5;5;5;5;6;6
"Rajna";15;15;16;15;15;14
"Ramajana";-;5;5;6;6;6
"Ramija";-;-;-;-;6;6
"Ramije";-;-;-;6;6;8
"Ramiza";143;148;154;156;158;159
"Ramize";7;8;8;8;8;8
"Ramona";33;31;33;34;32;31
"Ramza";14;13;14;14;14;14
"Ramzija";12;14;14;14;14;14
"Rania";7;6;6;5;7;8
"Ranka";96;98;99;99;97;97
"Rasema";85;88;92;92;93;93
"Rasima";102;104;107;110;111;111
"Rasma";14;14;14;14;14;14
"Rasta";5;6;6;6;6;6
"Rastislava";7;7;7;7;7;7
"Raša";11;12;12;12;12;12
"Rašida";10;10;11;11;11;11
"Ratka";19;20;22;22;22;21
"Raza";37;40;41;43;43;42
"Razija";105;104;110;109;111;112
"Razije";-;-;-;-;5;5
"Rea";20;23;24;24;28;28
"Rebeca";10;11;12;11;11;11
"Rebecca";61;60;60;62;61;58
"Rebeka";1072;1109;1140;1167;1194;1217
"Redžifa";-;5;5;5;5;5
"Redžife";11;10;10;10;10;10
"Refija";56;58;56;58;58;60
"Refika";86;87;90;89;91;90
"Regina";511;496;489;483;473;457
"Rejhana";-;5;5;5;5;7
"Remiza";6;6;7;8;8;8
"Remza";7;7;7;7;8;7
"Remzija";49;46;48;48;48;48
"Remzije";15;16;19;23;21;24
"Renata";3410;3403;3397;3392;3384;3367
"Renate";28;26;26;25;28;26
"Renatka";17;17;17;17;17;17
"Rene";11;8;9;9;9;9
"Renee";19;17;18;17;17;18
"Reneja";13;13;15;16;17;17
"Reni";6;6;5;5;5;5
"Renée";-;-;5;5;5;5
"Resmije";10;9;8;13;13;12
"Rešida";11;11;11;10;10;10
"Reufa";-;5;7;7;7;7
"Reza";12;13;14;15;14;14
"Rezija";64;64;66;65;66;67
"Rezika";42;42;41;41;41;41
"Rezka";44;43;42;41;42;40
"Ria";18;19;20;24;29;34
"Riana";11;14;19;20;24;24
"Ribana";12;12;12;12;12;12
"Rifa";5;5;5;5;5;5
"Rifeta";9;9;10;10;10;12
"Riharda";5;5;5;-;5;-
"Rija";16;17;17;16;17;17
"Rijana";-;-;-;5;5;5
"Rika";16;16;16;17;17;19
"Rima";8;8;8;8;9;9
"Rina";67;69;70;70;73;77
"Rinalda";7;7;7;7;7;7
"Rinesa";6;7;9;12;14;14
"Rita";26;28;27;27;27;29
"Roberta";74;76;79;79;77;79
"Robertina";28;26;26;27;29;29
"Robin";22;22;23;23;23;23
"Rodna";6;6;7;7;7;7
"Roksana";7;7;7;8;9;10
"Roksanda";7;7;7;7;7;7
"Rolanda";51;51;51;51;51;52
"Romana";2865;2862;2843;2834;2825;2804
"Romana Marija";8;8;8;8;8;8
"Romanca";131;131;131;131;130;128
"Romea";8;8;8;8;7;7
"Romi";16;16;16;19;19;19
"Romilda";11;10;10;10;10;9
"Romina";168;168;170;170;171;172
"Rona";-;-;-;-;-;6
"Ronja";28;34;43;53;60;64
"Rosa";130;132;134;134;136;135
"Rosalinda";7;7;6;6;6;6
"Rosana";276;276;282;280;277;277
"Rosanda";149;149;150;149;149;147
"Rosanna";6;5;5;5;6;7
"Rose";5;5;6;7;8;8
"Rosemarie";16;15;17;17;17;16
"Rosina";8;8;7;7;7;7
"Rosita";40;40;40;40;40;40
"Roska";-;-;-;-;-;5
"Rosmarie";5;5;5;5;5;5
"Rossana";9;10;10;10;11;11
"Rossella";-;-;5;5;-;6
"Rosvita";128;127;129;129;129;129
"Roswitha";9;9;8;7;7;6
"Roteja";5;5;5;5;5;5
