"Ženska imena po: IME, MERITVE , LETO"

" ";"Število";" ";" ";" ";" ";" "
"Ariadna";-;-;5;5;6;7
"Ariana";129;143;162;176;187;196
"Ariane";6;6;6;6;6;5
"Arianna";20;21;21;23;19;21
"Ariela";8;9;12;12;15;16
"Arifa";49;49;52;54;52;54
"Arife";12;13;14;13;13;13
"Arijana";95;98;99;103;106;107
"Arijeta";8;8;9;9;10;11
"Arina";9;8;7;7;8;8
"Arja";5;5;5;6;7;9
"Arjana";26;25;25;25;25;26
"Arjeta";17;19;22;23;27;28
"Arjete";-;-;-;-;-;5
"Arlen";5;5;5;5;5;5
"Arlena";5;5;5;5;5;5
"Arlinda";17;19;25;26;27;31
"Armanda";16;15;14;14;14;13
"Armela";8;8;8;9;10;10
"Armena";5;6;6;6;6;6
"Armida";29;29;27;26;26;25
"Armina";39;43;45;47;52;56
"Arnela";56;56;63;66;72;71
"Arnesa";7;10;12;12;14;13
"Arta";26;28;34;36;40;44
"Arzija";11;11;11;10;10;10
"Asha";-;-;-;-;5;5
"Asia";11;12;13;15;17;20
"Asifa";5;-;-;-;-;5
"Asija";31;32;32;35;40;39
"Asije";5;5;-;-;5;7
"Asima";152;153;159;157;156;156
"Asja";178;191;201;213;232;249
"Asmira";62;70;76;78;81;83
"Asta";27;27;27;27;27;28
"Astra";-;-;5;5;-;-
"Astrid";91;87;87;87;90;96
"Astrida";7;7;7;7;7;7
"Aša";8;8;8;12;12;15
"Atena";6;7;7;7;7;9
"Atidža";-;5;5;-;-;-
"Atifa";17;17;18;18;18;17
"Atije";5;5;5;5;-;-
"Atina";7;7;9;12;12;13
"Augustina";6;-;-;5;5;5
"Aulona";-;-;-;5;7;7
"Aurela";-;-;5;7;8;11
"Aurelia";11;9;9;10;11;10
"Aurelija";16;16;15;14;13;13
"Aurora";47;51;59;66;73;82
"Ava";45;54;62;73;92;104
"Ave";6;6;5;5;5;5
"Avelina";5;5;5;5;5;5
"Avgusta";74;71;69;68;67;66
"Avgustina";18;18;17;16;16;13
"Avguština";179;173;168;161;153;144
"Avrelija";77;75;75;74;74;71
"Aza";9;9;9;9;9;9
"Azema";16;16;16;16;15;15
"Azemina";52;53;53;56;59;59
"Azemine";9;10;10;10;10;10
"Azime";6;5;6;6;6;6
"Azira";9;9;10;10;10;11
"Aziza";16;16;17;17;16;17
"Azize";12;11;11;11;11;11
"Azra";368;378;406;414;425;431
"Ayla";5;8;8;14;15;17
"Aylin";-;-;-;5;5;9
"Badema";13;13;12;11;11;11
"Bahira";7;8;9;8;8;9
"Bahra";14;14;14;15;15;15
"Bahrija";39;37;36;37;38;39
"Bahrije";7;8;12;12;13;14
"Bahtija";5;5;5;5;5;5
"Bajra";5;5;5;5;5;5
"Bajrama";21;21;21;20;20;20
"Bajrame";8;8;8;8;8;7
"Bara";66;65;65;64;64;64
"Barba";5;5;5;5;5;5
"Barbara";9718;9710;9684;9666;9642;9598
"Barbara Katarina";5;5;-;-;-;-
"Barbara Marija";6;5;5;5;5;5
"Barbi";16;17;17;17;17;17
"Barbika";34;33;32;32;32;31
"Barbka";224;224;222;221;219;218
"Barbra";13;14;15;15;15;15
"Barica";177;176;174;174;173;175
"Barije";7;7;7;7;7;9
"Barka";5;-;-;-;-;-
"Bea";13;13;16;17;17;17
"Beata";23;20;22;23;25;25
"Beatrice";18;18;18;18;20;18
"Beatrika";6;6;6;6;7;7
"Beatris";6;6;6;7;7;7
"Beba";35;35;35;35;36;36
"Bedrija";-;-;5;5;-;5
"Bedrije";10;10;12;13;14;15
"Bega";-;-;-;-;5;5
"Begajeta";6;6;6;7;7;7
"Begzada";10;10;11;13;13;13
"Behara";8;8;9;9;9;10
"Behare";11;12;13;14;13;14
"Behija";35;37;36;37;38;41
"Behrija";7;7;7;8;8;9
"Beisa";15;17;17;18;19;21
"Beja";-;-;5;5;5;5
"Bejaza";-;-;-;-;-;7
"Bejza";28;28;29;30;32;30
"Bekira";20;20;21;22;21;23
"Bela";10;11;12;13;14;15
