"Moška imena po: IME, MERITVE , LETO"

" ";"Število";" ";" ";" ";" ";" "
"Dieter";6;7;7;7;7;6
"Dijego";6;7;7;7;7;7
"Diko";6;6;6;6;6;6
"Dilan";-;-;-;-;-;5
"Dilaver";7;7;7;6;7;8
"Dimche";-;7;7;9;13;13
"Dimèe";17;15;13;13;10;9
"Dimèo";-;6;7;-;-;-
"Dime";7;6;6;6;6;6
"Dimitar";33;32;31;34;35;41
"Dimitri";13;14;15;15;16;18
"Dimitrij";336;337;339;334;331;325
"Dimitrija";19;18;19;19;18;19
"Dimitrije";73;71;69;64;61;59
"Din";72;81;91;106;129;141
"Dine";5;5;-;5;6;6
"Dinko";57;59;57;58;56;57
"Dino";400;419;438;444;462;465
"Dion";8;12;13;15;21;23
"Dionis";5;6;-;5;7;7
"Dionizij";16;16;16;16;14;13
"Djafer";7;7;6;6;5;5
"Djego";7;7;7;7;7;7
"Djelal";-;-;5;-;-;-
"Djemal";9;9;11;12;11;10
"Djerdj";5;6;5;5;5;-
"Djevad";18;18;19;19;19;20
"Djevat";7;10;8;7;8;9
"Djevdet";-;-;-;5;-;-
"Djoka";7;8;8;8;8;8
"Djoko";10;11;10;10;10;9
"Djordje";88;86;86;82;84;80
"Djordjo";42;41;41;40;39;39
"Djura";8;8;8;8;8;8
"Djuradj";32;32;30;28;27;27
"Djuro";105;97;92;87;83;80
"Dmitar";15;15;15;15;15;16
"Dmitri";-;-;-;-;5;5
"Dmitrij";-;5;5;5;6;7
"Dmitry";-;-;-;5;7;16
"Dmytro";6;7;6;6;7;9
"Dobran";5;5;5;5;5;-
"Dobre";17;17;20;20;22;20
"Dobri";6;6;7;7;6;7
"Dobrica";11;11;13;12;11;11
