"GEO";"BCA";"BCA_NGDPD";"GGR_NGDP";"GGXCNL_NGDP";"GGX_NGDP";"GGXWDG_NGDP";"LP";"NGDPD";"NGDP_D";"NGDPDPC";"NGDP_RPCH";"NGSD_NGDP";"NID_NGDP";"PCPI";"PCPIE";"PCPIEPCH";"PCPIPCH";"PPPEX";"PPPGDP";"PPPPC";"PPPSH";"TMG_RPCH";"TM_RPCH";"TXG_RPCH";"TX_RPCH"
"France";-33780;-1314;49479;-7091;56570;82356;62765;2569,822;109256;40943,4;1725;17978;19292;108789;109794;1978;1734;916;2114,093;33682,551;2815;8958;8902;10616;9463
"Gabon";1290;8890;25525;2671;22854;20299;1496;14507;168308;9694,387;6739;38854;29964;119549;120018;687;1447;302940;23718;15849,343;32;7293;7293;-2122;-2122
"Georgia";-1193;-10248;28280;-4780;33060;39163;4436;11638;188523;2623,358;6253;11640;21888;243047;249405;11241;7109;931;22270;5019,768;30;1449;931;5648;7825
"Germany";206985;6252;43582;-4152;47734;82440;81757;3310,6;105248;40493,051;3857;23588;17336;108433;110000;1852;1150;853;2926,463;35794,533;3897;14045;12519;16913;15183
"Ghana";-2770;-8605;16710;-9370;26080;46258;23699;32186;88527;1358,161;8009;14626;23016;470260;477747;8579;10709;717;64193;2708,733;85;38042;32854;54533;40603
"Greece";-29863;-10131;40617;-10829;51446;148329;11305;294771;114650;26074,163;-4943;7404;17535;117207;117675;5174;4713;732;303598;26854,877;404;-9279;-6169;7611;5187
"Grenada";-185;-23973;24674;-3141;27816;101216;104;770;110557;7366,549;-352;-1923;22050;103567;104100;4215;3437;1513;1374;13145,912;2;-1354;-1354;-37796;-9362
"Guatemala";-626;-1515;11236;-3290;14526;24099;14377;41338;166986;2875,31;2869;12423;13938;98131;1e+05;5396;3860;4765;69908;4862,515;93;8253;9171;2863;6487
"Guinea";-566;-11480;15700;-13981;29681;99638;10331;4929;338034;477105;1936;-914;10566;706627;777249;20803;15466;2523,842;10745;1040,078;14;-5155;12763;-8080;-9308
"Guinea-Bissau";-72;-8563;20447;-2088;22535;51652;1515;837;118090;552360;3473;1254;9817;99416;98984;5703;1071;233234;1774;1170,761;2;-5295;-2866;-12138;-12138
